Type,Title,URL,Slug,Status,"Focus Keyword","SEO Title","Meta Description",Silo/Category,Words
"Money page",Australia,http://localhost/ukvisa/australia/,australia,publish,"australia eta uk citizens","Australia ETA & eVisitor for UK Citizens | UKVisaCo","British travellers need an ETA or eVisitor to visit Australia. Apply online quickly, understand which one suits you and travel with confidence.",,0
"Money page",Brazil,http://localhost/ukvisa/brazil/,brazil,publish,"brazil visa uk","Brazil: Visa-Free for UK Travellers | UKVisaCo","Brazil is visa-free for UK travellers for 90 days. Our guide covers entry rules, passport validity and what to check before you go.",,0
"Money page",Egypt,http://localhost/ukvisa/egypt/,egypt,publish,"egypt evisa uk citizens","Egypt eVisa for UK Citizens | Apply Online","British travellers need an eVisa for Egypt. Apply online in minutes, skip the queues and arrive ready to explore. Simple, fast guidance from UKVisaCo.",,0
"Money page",India,http://localhost/ukvisa/india/,india,publish,"india evisa uk citizens","India eVisa for UK Citizens | Apply Online","UK travellers need an eVisa to visit India. Apply online with clear step-by-step guidance, avoid common mistakes and get approved before you fly.",,0
"Money page",Kenya,http://localhost/ukvisa/kenya/,kenya,publish,"kenya eta uk","Kenya eTA for UK Travellers | Apply Online","UK travellers need a Kenya eTA. Apply online before you fly — our guide covers the cost, requirements and how it works.",,0
"Money page",Morocco,http://localhost/ukvisa/morocco/,morocco,publish,"morocco visa uk citizens","Morocco: Visa-Free for UK Citizens | UKVisaCo","Great news for British travellers: Morocco is visa-free for stays up to 90 days. Check your passport validity and entry requirements before you go.",,0
"Money page","Schengen Area",http://localhost/ukvisa/schengen/,schengen,publish,"schengen visa uk citizens","Schengen: Visa-Free for UK Citizens | UKVisaCo","British travellers enjoy visa-free Schengen access for 90 days in any 180. Understand the rules, count your days and travel Europe with ease.",,0
"Money page","Sri Lanka",http://localhost/ukvisa/sri-lanka/,sri-lanka,publish,"sri lanka eta uk","Sri Lanka ETA for UK Travellers | Apply","UK travellers need a Sri Lanka ETA (free from 2026). Apply online before you fly — our guide covers requirements and how it works.",,0
"Money page",Tanzania,http://localhost/ukvisa/tanzania/,tanzania,publish,"tanzania evisa uk","Tanzania eVisa for UK Travellers | Apply","UK travellers need a Tanzania eVisa. Apply online before your safari — clear guidance on cost, requirements and processing time.",,0
"Money page",Thailand,http://localhost/ukvisa/thailand/,thailand,publish,"thailand visa uk","Thailand Visa for UK Travellers | UKVisaCo","Thailand is visa-free for UK travellers for 60 days. Our guide covers entry rules, the arrival card and what to sort before you fly.",,0
"Money page",Turkey,http://localhost/ukvisa/turkey/,turkey,publish,"turkey visa uk citizens","Turkey: Visa-Free for UK Citizens | UKVisaCo","Good news for UK travellers: Turkey is visa-free for stays up to 90 days. Find out exactly what you need before you fly, plus passport and entry tips.",,0
"Money page","United Arab Emirates",http://localhost/ukvisa/uae/,uae,publish,"uae visa uk citizens","UAE: Visa-Free Entry for UK Citizens | UKVisaCo","UK travellers get visa-free entry to the UAE for short stays. Learn what Dubai and Abu Dhabi require at the border before your trip.",,0
"Money page","United States",http://localhost/ukvisa/usa/,usa,publish,"usa esta uk citizens","USA ESTA for UK Citizens | Apply Online","UK travellers need an ESTA to visit the USA visa-free. Apply online in minutes, understand the rules and get approved well before you fly.",,0
"Money page",Vietnam,http://localhost/ukvisa/vietnam/,vietnam,publish,"vietnam visa uk","Vietnam Visa & Entry for UK Travellers","UK travellers get 45 days visa-free in Vietnam; an eVisa covers longer stays. Clear guidance on entry rules and costs before you book.",,0
Guide/Post,"Hello world!",http://localhost/ukvisa/hello-world/,hello-world,publish,,,,Uncategorized,15
Guide/Post,"Smooth Egypt visa experience",http://localhost/ukvisa/smooth-egypt-visa-experience/,smooth-egypt-visa-experience,publish,,,,Testimonials,39
Page,"About Us",http://localhost/ukvisa/about/,about,publish,,,,,136
Page,"Apply for your visa",http://localhost/ukvisa/apply/,apply,publish,,,,,3
Page,"Best Time for a Tanzania Safari: Seasons Explained",http://localhost/ukvisa/best-time-for-tanzania-safari/,best-time-for-tanzania-safari,publish,"best time for a tanzania safari","Best Time for a Tanzania Safari: Seasons Explained",,,118
Page,"Best Time to Visit Egypt",http://localhost/ukvisa/best-time-to-visit-egypt/,best-time-to-visit-egypt,publish,"best time to visit egypt","Best Time to Visit Egypt | UKVisaCo","When is the best time to visit Egypt? Find the ideal months for weather, sightseeing and Nile cruises, with practical tips for UK travellers.",,130
Page,"Best Time to Visit Thailand: Month-by-Month Guide",http://localhost/ukvisa/best-time-to-visit-thailand/,best-time-to-visit-thailand,publish,"best time to visit thailand","Best Time to Visit Thailand: Month-by-Month Guide",,,126
Page,"Cambodia e-Visa for UK Citizens: How to Apply",http://localhost/ukvisa/cambodia-evisa-for-uk-citizens/,cambodia-evisa-for-uk-citizens,publish,"cambodia evisa for uk citizens","Cambodia e-Visa for UK Citizens: How to Apply","How UK citizens apply for the Cambodia tourist e-Visa online — documents, timing and what to expect on arrival.",,289
Page,"Canada eTA for UK Citizens Explained",http://localhost/ukvisa/canada-eta-for-uk-citizens/,canada-eta-for-uk-citizens,publish,"canada eta for uk citizens","Canada eTA for UK Citizens Explained","What the Canada eTA is for UK citizens, how it works and how to apply online before flying.",,276
Page,Contact,http://localhost/ukvisa/contact/,contact,publish,,,,,0
Page,"Do I Need a Visa? UK Visa Checker",http://localhost/ukvisa/do-i-need-a-visa/,do-i-need-a-visa,publish,"do i need a visa","Do I Need a Visa? Free Checker | UKVisaCo","Find out in seconds whether you need a visa, eVisa or ETA for your trip. Free visa requirements checker built for UK passport holders.",,30
Page,"Do I Need Vaccinations for India?",http://localhost/ukvisa/do-i-need-vaccinations-for-india/,do-i-need-vaccinations-for-india,publish,"vaccinations for india","Vaccinations for India: UK Travellers' Guide","Wondering which vaccinations you need for India? Our guide for UK travellers covers recommended jabs, timings and NHS advice before you fly.",,150
Page,"Driving in France: What UK Drivers Need (No IDP Required)",http://localhost/ukvisa/driving-in-france/,driving-in-france,publish,"driving in france uk licence","Driving in France: Do UK Drivers Need an IDP?","UK drivers don't need an IDP for France with a photocard licence. Learn what you do need, from insurance to kit, before you hit the road.",,186
Page,"Driving in the USA: Why UK Drivers Need a 1949 IDP",http://localhost/ukvisa/driving-in-usa/,driving-in-usa,publish,"driving in usa uk licence","Driving in the USA: IDP Guide for UK Drivers","Planning to drive in the USA? UK drivers may need a 1949 International Driving Permit. Learn the rules state by state before you travel.",,178
Page,"Driving in Turkey: Why UK Drivers Need a 1968 IDP",http://localhost/ukvisa/driving-in-turkey/,driving-in-turkey,publish,"driving in turkey uk licence","Driving in Turkey: IDP Guide for UK Drivers","Driving in Turkey? UK drivers need a 1968 International Driving Permit alongside their licence. Find out how to get one and what to carry.",,161
Page,"Dubai Dress Code for Tourists",http://localhost/ukvisa/dubai-dress-code-for-tourists/,dubai-dress-code-for-tourists,publish,"dubai dress code for tourists","Dubai Dress Code for Tourists | UKVisaCo","What should you wear in Dubai? Our dress code guide for UK travellers covers malls, beaches, mosques and dining so you pack with confidence.",,127
Page,"Egypt e-Visa vs Visa on Arrival for UK Travellers",http://localhost/ukvisa/egypt-evisa-vs-visa-on-arrival/,egypt-evisa-vs-visa-on-arrival,publish,"egypt evisa vs visa on arrival","Egypt e-Visa vs Visa on Arrival for UK Travellers","Compare Egypt's e-Visa and visa on arrival for UK travellers — how each works and which suits your trip.",,126
Page,"ESTA Denied for UK Travellers: Common Reasons",http://localhost/ukvisa/esta-denied-reasons-uk/,esta-denied-reasons-uk,publish,"esta denied for uk travellers","ESTA Denied for UK Travellers: Common Reasons","An ESTA can be denied for UK travellers due to past refusals, criminal history, or form errors. Here are the common reasons + what to do next.",,138
Page,"ESTA vs US Visa: What&#8217;s the Difference?",http://localhost/ukvisa/esta-vs-us-visa/,esta-vs-us-visa,publish,"esta vs us visa","ESTA vs US Visa: Which Do UK Travellers Need?","ESTA or US visa? We explain the difference for UK travellers, who qualifies for each and how to choose the right one before booking.",,158
Page,"ETA vs eVisa vs Visa: What UK Travellers Need to Know",http://localhost/ukvisa/eta-vs-evisa-vs-visa-uk/,eta-vs-evisa-vs-visa-uk,publish,"eta vs evisa vs visa uk","ETA vs eVisa vs Visa: What UK Travellers Need to Know","ETA vs eVisa vs traditional visa explained for UK travellers — what each is, examples, and how to tell which you need.",,293
